date,mean
2006-12-31,0.87
2007-12-31,0.83
2008-12-31,0.88
2009-12-31,0.84
2010-12-31,0.86
2011-12-31,0.8
2012-12-31,0.83
2013-12-31,0.88
2014-12-31,0.76
2015-12-31,0.82
2016-12-31,0.96
2017-12-31,0.88
2018-12-31,0.88
2019-12-31,0.82
2020-12-31,0.86
2021-12-31,0.86
2022-12-31,0.9
2023-12-31,1.0
2024-12-31,0.86
2025-12-31,0.95
2026-12-31,0.87
2027-12-31,0.98
2028-12-31,0.9
2029-12-31,0.89
2030-12-31,0.85
2031-12-31,0.91
2032-12-31,0.94
2033-12-31,0.88
2034-12-31,0.9
2035-12-31,0.92
2036-12-31,0.9
2037-12-31,0.88
2038-12-31,0.95
2039-12-31,0.82
2040-12-31,0.9
2041-12-31,0.87
2042-12-31,0.88
2043-12-31,0.87
2044-12-31,0.93
2045-12-31,0.89
2046-12-31,0.91
2047-12-31,0.92
2048-12-31,0.99
2049-12-31,0.92
2050-12-31,0.92
2051-12-31,0.96
2052-12-31,0.99
2053-12-31,1.0
2054-12-31,0.89
2055-12-31,0.92
2056-12-31,0.98
2057-12-31,0.91
2058-12-31,0.89
2059-12-31,0.96
2060-12-31,0.99
2061-12-31,0.93
2062-12-31,0.92
2063-12-31,0.9
2064-12-31,0.87
2065-12-31,0.89
2066-12-31,0.98
2067-12-31,0.94
2068-12-31,0.88
2069-12-31,0.93
2070-12-31,0.98
2071-12-31,0.94
2072-12-31,1.03
2073-12-31,0.91
2074-12-31,0.95
2075-12-31,0.9
2076-12-31,1.03
2077-12-31,0.96
2078-12-31,0.95
2079-12-31,1.03
2080-12-31,1.0
2081-12-31,1.03
2082-12-31,0.92
2083-12-31,0.99
2084-12-31,0.94
2085-12-31,1.07
2086-12-31,1.04
2087-12-31,1.02
2088-12-31,0.95
2089-12-31,0.99
2090-12-31,1.1
2091-12-31,1.11
2092-12-31,0.99
2093-12-31,0.98
2094-12-31,0.99
2095-12-31,1.0
2096-12-31,1.01
2097-12-31,0.98
2098-12-31,1.03
2099-12-31,0.91
