,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median,shifting_rcp45,shifting_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,195.3098675319152,84.65758188288866,43.149327131000135,419.9627879115548,189.80356257847637,210.69749032157083,233.9034909493611,259.8157155064203,310.3764672851593,342.6804221453017,564.5889182536673,187.46977725563326,166.69253906250253,1023.5418232945087,563.2789240809891,818.8667270815816,410.7425457312142,180.73901227678832,1837.9612651716027,762.7443803187826,3.0,3.0
1,"Amchitka, AK, Site",AMC,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27033474351136233,0.9760581655050214,0.0,6.200117797851787,0.0,,3.0
2,"Bluewater, NM, Disposal Site",BLU,NM,195.3098675319152,84.65758188288866,43.149327131000135,419.9627879115548,189.80356257847637,210.69749032157083,233.9034909493611,259.8157155064203,310.3764672851593,342.6804221453017,564.5889182536673,187.46977725563326,166.69253906250253,1023.5418232945087,563.2789240809891,818.8667270815816,410.7425457312142,180.73901227678832,1837.9612651716027,762.7443803187826,3.0,3.0
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,5133.898074585288,420.65500724853814,4176.813841116783,6072.72112304689,5134.097455139175,5233.612858189189,5353.15362343926,5483.674841482995,5670.87119637627,5801.574297616156,5977.23981932173,415.53794503079604,4988.442089059028,6934.681590140222,5987.816518380317,6387.716712589918,698.3329400913505,4932.692509591254,7936.111779087628,6356.436611894895,3.0,3.0
4,"Bronco, CO, Site",BRO,CO,210.72468296907633,88.7036985308859,46.867223510743365,451.67934552874215,203.21117340088145,226.45255301339552,248.95826302664895,276.67354169573383,322.0734186227012,365.86964368548024,570.7224331752684,185.11977994661098,187.33545148577255,1046.3045099748936,568.9468291800401,825.7368910138487,405.8825475243087,202.48179966518114,1851.3648993791915,757.7911277989022,3.0,3.0
5,"Burrell, PA, Disposal Site",BUR,PA,638.5733065375543,123.42158561806984,398.3518226841552,959.4985752650721,624.8030133056682,660.562575683598,696.7393157087098,742.9540783691451,800.5450161743208,852.3826783316522,1126.9993054144645,231.40209759549197,625.9249162946472,1658.604200090687,1143.973870239263,1429.6185742512214,481.52689702009394,643.6452097865556,2507.5083129010955,1370.4152825927792,3.0,3.0
6,"Burris Park, CA, Site",BRP,CA,1727.9217487179576,180.9639177273303,1330.0910436139854,2204.3762047468,1721.1375651332385,1760.6925149972171,1814.7288907732357,1874.121171264656,1954.2430228969101,2026.8511114937999,2463.2855893913847,321.7472176366432,1732.792868477965,3215.8641571916946,2477.0613849748966,2846.260118526015,631.8366357951311,1721.5610112653528,4226.621024780284,2794.5532770211435,3.0,3.0
7,"Canonsburg, PA, Disposal Site",CAN,PA,695.5285287491199,128.1505654071224,443.3559334019288,1026.1353115408813,681.6852207728838,717.1307151576494,756.7691379656155,805.8388246372813,863.1179170009117,911.4451381574409,1196.9437275933628,236.6132275533059,687.5463638741674,1742.6758162144317,1214.949605625703,1506.822503960798,493.0105630964954,699.4372566441172,2608.190276314879,1444.751111668184,3.0,3.0
8,"Casper, WY, Calibration Model",CSC,WY,360.18711061594735,112.29077490082706,134.04860438755782,654.8974496024033,353.0595932442832,382.99618076869734,411.9749556187253,448.4106374686137,501.85307979039135,554.7462467084648,754.9108751945292,195.31690334041,326.29191502162683,1260.9854033551946,755.8880942644433,1036.7262348293361,438.09338779451355,344.37431509835676,2087.5126362827905,963.229497070317,3.0,3.0
9,"Central Nevada Test Area, NV",CNT,NV,345.99464493420953,100.46805920012632,144.85995500837268,615.0889682442839,335.69350703648456,365.0677361188646,389.90745387486356,425.55456848144865,472.0351627894845,513.5057749503036,783.3213884476922,208.83168138890727,327.57827226911576,1289.30347612654,789.173920680459,1061.3180202597805,444.72063185844536,340.8501708984405,2086.9010940987787,1004.5060542515394,3.0,3.0
