date,mean
2006-12-31,0.84
2007-12-31,0.89
2008-12-31,0.88
2009-12-31,0.87
2010-12-31,0.87
2011-12-31,0.89
2012-12-31,0.88
2013-12-31,0.89
2014-12-31,0.88
2015-12-31,0.9
2016-12-31,0.84
2017-12-31,0.88
2018-12-31,0.93
2019-12-31,0.91
2020-12-31,0.83
2021-12-31,0.92
2022-12-31,0.86
2023-12-31,0.92
2024-12-31,0.91
2025-12-31,0.86
2026-12-31,0.86
2027-12-31,0.92
2028-12-31,0.91
2029-12-31,0.93
2030-12-31,0.93
2031-12-31,0.94
2032-12-31,0.92
2033-12-31,0.84
2034-12-31,0.9
2035-12-31,0.87
2036-12-31,0.92
2037-12-31,0.86
2038-12-31,0.86
2039-12-31,0.88
2040-12-31,0.91
2041-12-31,0.9
2042-12-31,0.91
2043-12-31,0.92
2044-12-31,0.98
2045-12-31,0.83
2046-12-31,0.87
2047-12-31,0.94
2048-12-31,0.95
2049-12-31,0.89
2050-12-31,0.96
2051-12-31,0.94
2052-12-31,0.94
2053-12-31,0.9
2054-12-31,0.95
2055-12-31,0.95
2056-12-31,0.88
2057-12-31,0.85
2058-12-31,0.95
2059-12-31,0.96
2060-12-31,1.0
2061-12-31,1.03
2062-12-31,0.96
2063-12-31,0.97
2064-12-31,1.04
2065-12-31,0.93
2066-12-31,0.95
2067-12-31,0.99
2068-12-31,0.94
2069-12-31,0.92
2070-12-31,0.95
2071-12-31,0.92
2072-12-31,0.88
2073-12-31,1.0
2074-12-31,0.94
2075-12-31,0.89
2076-12-31,0.95
2077-12-31,0.91
2078-12-31,0.99
2079-12-31,0.91
2080-12-31,0.92
2081-12-31,0.99
2082-12-31,0.93
2083-12-31,0.91
2084-12-31,1.02
2085-12-31,0.98
2086-12-31,0.92
2087-12-31,0.92
2088-12-31,0.94
2089-12-31,0.93
2090-12-31,1.0
2091-12-31,0.96
2092-12-31,0.93
2093-12-31,0.87
2094-12-31,0.95
2095-12-31,1.01
2096-12-31,0.97
2097-12-31,0.96
2098-12-31,0.86
2099-12-31,1.01
